City,Observation Time,Temperature,Humidity,Weather,Wind Speed,Cloud Coverage:,Pressure,Precipitation,Visibility,Wind Direction
Giza,11:31 PM,14,66,Clear ,12,2,1018,0.0,10,NNE
Sixth of October,11:58 PM,14,68,Clear ,12,2,1018,0.0,10,NNE
Cheikh Zayed,11:31 PM,-8,28,Clear ,14,2,1019,0.0,10,WSW
Al Badrasheen,11:58 PM,13,32,Clear ,11,1,1020,0.0,10,ENE
Saf,11:31 PM,6,44,Cloudy ,7,66,1028,0.0,10,W
Atfih,11:48 PM,13,62,Clear ,9,0,1017,0.0,10,NNE
Al Ayat,11:58 PM,14,59,Clear ,16,3,1018,0.0,10,NE
Al-Bawaiti,11:31 PM,13,32,Clear ,11,1,1020,0.0,10,ENE
ManshiyetAl Qanater,11:48 PM,8,64,Clear ,4,0,1022,0.0,10,ENE
Abu Nomros,11:31 PM,13,55,Clear ,4,3,1017,0.0,10,NNE
Kafr Ghati,11:31 PM,15,25,Clear ,9,0,1014,0.0,10,N
Manshiyet Al Bakari,11:31 PM,14,66,Clear ,14,3,1018,0.0,10,NNE
Dokki,11:58 PM,0,73,Clear ,6,11,1019,0.0,10,ENE
Haram,11:58 PM,12,72,Overcast ,31,93,1007,0.0,10,SSW
Warraq,11:57 PM,26,31,Clear ,14,0,1011,0.0,10,N
Imbaba,11:48 PM,14,65,Clear ,12,2,1018,0.0,10,NE
Boulaq Dakrour,12:24 AM,0,73,Clear ,9,11,1017,0.0,10,S
Al Wahat Al Baharia,11:31 PM,17,64,Clear ,4,0,1017,0.0,10,SSE
Bin Alsarayat,11:31 PM,22,81,Partly Cloudy ,9,27,1011,0.0,10,N
Kit Kat,11:31 PM,-9,69,Clear ,5,6,1026,0.0,10,NE
Faisal,11:58 PM,11,24,Clear ,4,0,1014,0.0,10,NNE
Abu Rawash,11:58 PM,0,25,Clear ,9,0,1017,0.0,10,S
Hadayek October,11:58 PM,14,68,Clear ,12,2,1018,0.0,10,NNE
Saft Allaban,11:58 PM,13,65,Clear ,10,0,1017,0.0,10,N
Smart Village,11:58 PM,25,87,Patchy rain nearby,14,86,1013,0.6,9,E
